Date,Product ID,Category,Units Sold,Inventory Level,Price,Weather Condition,Holiday/Promotion,Seasonality,Discount
2022/2/5,P0001,Household,42,240,34.27,Cloudy,0,Winter,0
2022/2/6,P0001,Household,46,194,34.27,Sunny,0,Winter,0
2022/2/7,P0001,Household,26,168,34.27,Rainy,0,Winter,0
2022/2/8,P0001,Household,41,127,34.27,Cloudy,0,Winter,0
2022/2/9,P0001,Household,66,374,34.27,Sunny,0,Winter,0
2022/2/10,P0001,Household,33,341,34.27,Cloudy,0,Winter,0
2022/2/11,P0001,Household,35,306,34.27,Rainy,0,Winter,0
2022/2/12,P0001,Household,37,269,34.27,Cloudy,0,Winter,0
2022/2/13,P0001,Household,32,237,34.27,Rainy,0,Winter,0
2022/2/14,P0001,Household,57,180,34.27,Rainy,0,Winter,0
2022/2/15,P0001,Household,75,105,34.27,Sunny,0,Winter,0
2022/2/16,P0001,Household,53,249,34.27,Sunny,0,Winter,0
2022/2/17,P0001,Household,23,226,34.27,Rainy,0,Winter,0
2022/2/18,P0001,Household,53,173,34.27,Cloudy,0,Winter,0
2022/2/19,P0001,Household,43,130,34.27,Rainy,0,Winter,0
2022/2/20,P0001,Household,56,319,34.27,Cloudy,0,Winter,0
2022/2/21,P0001,Household,24,295,34.27,Cloudy,1,Winter,7
2022/2/22,P0001,Household,60,235,34.27,Cloudy,0,Winter,0
2022/2/23,P0001,Household,5,230,34.27,Rainy,0,Winter,0
2022/2/24,P0001,Household,72,158,34.27,Cloudy,0,Winter,0
2022/2/25,P0001,Household,50,108,34.27,Rainy,0,Winter,0
2022/2/26,P0001,Household,53,239,34.27,Cloudy,0,Winter,0
2022/2/27,P0001,Household,29,210,34.27,Sunny,1,Winter,16
2022/2/28,P0001,Household,33,177,34.27,Cloudy,0,Winter,0
2022/3/1,P0001,Household,58,119,34.27,Rainy,0,Winter,0
2022/3/2,P0001,Household,13,106,34.27,Cloudy,0,Winter,0
2022/3/3,P0001,Household,51,311,34.27,Rainy,0,Winter,0
2022/3/4,P0001,Household,28,283,34.27,Sunny,0,Winter,0
2022/3/5,P0001,Household,75,208,34.27,Sunny,1,Winter,20
2022/3/6,P0001,Household,52,156,34.27,Sunny,0,Winter,0
2022/3/7,P0001,Household,11,145,34.27,Rainy,0,Winter,0
2022/3/8,P0001,Household,52,445,34.27,Sunny,0,Winter,0
2022/3/9,P0001,Household,53,392,34.27,Sunny,0,Winter,0
2022/3/10,P0001,Household,80,312,34.27,Rainy,1,Winter,13
2022/3/11,P0001,Household,75,237,34.27,Cloudy,0,Winter,0
2022/3/12,P0001,Household,52,185,34.27,Sunny,0,Winter,0
2022/3/13,P0001,Household,37,148,34.27,Sunny,0,Winter,0
2022/3/14,P0001,Household,15,133,34.27,Rainy,0,Winter,0
2022/3/15,P0001,Household,77,438,34.27,Sunny,0,Winter,0
2022/3/16,P0001,Household,83,355,34.27,Cloudy,0,Winter,0
2022/3/17,P0001,Household,31,324,34.27,Sunny,0,Winter,0
2022/3/18,P0001,Household,75,249,34.27,Sunny,0,Winter,0
2022/3/19,P0001,Household,53,196,34.27,Sunny,0,Winter,0
2022/3/20,P0001,Household,28,168,34.27,Rainy,0,Winter,0
2022/3/21,P0001,Household,68,100,34.27,Cloudy,0,Winter,0
2022/3/22,P0001,Household,54,296,34.27,Sunny,1,Winter,19
2022/3/23,P0001,Household,42,254,34.27,Cloudy,0,Winter,0
2022/3/24,P0001,Household,71,183,34.27,Sunny,0,Winter,0
2022/3/25,P0001,Household,31,152,34.27,Rainy,0,Winter,0
2022/3/26,P0001,Household,29,123,34.27,Rainy,0,Winter,0
2022/3/27,P0001,Household,52,386,34.27,Sunny,0,Winter,0
2022/3/28,P0001,Household,29,357,34.27,Rainy,0,Winter,0
2022/3/29,P0001,Household,67,290,34.27,Rainy,1,Winter,17
2022/3/30,P0001,Household,71,219,34.27,Cloudy,0,Winter,0
2022/3/31,P0001,Household,71,148,34.27,Cloudy,0,Winter,0
2022/4/1,P0001,Household,34,114,34.27,Cloudy,0,Spring,0
2022/4/2,P0001,Household,28,469,34.27,Rainy,0,Spring,0
2022/4/3,P0001,Household,59,410,34.27,Rainy,0,Spring,0
2022/4/4,P0001,Household,42,368,34.27,Sunny,0,Spring,0
2022/4/5,P0001,Household,46,322,34.27,Cloudy,0,Spring,0
2022/4/6,P0001,Household,84,238,34.27,Sunny,0,Spring,0
2022/4/7,P0001,Household,52,186,34.27,Rainy,0,Spring,0
2022/4/8,P0001,Household,22,164,34.27,Sunny,0,Spring,0
2022/4/9,P0001,Household,89,262,34.27,Sunny,0,Spring,0
2022/4/10,P0001,Household,74,188,34.27,Cloudy,0,Spring,0
2022/4/11,P0001,Household,41,147,34.27,Cloudy,1,Spring,8
2022/4/12,P0001,Household,72,308,34.27,Cloudy,0,Spring,0
2022/4/13,P0001,Household,76,232,34.27,Sunny,0,Spring,0
2022/4/14,P0001,Household,63,169,34.27,Cloudy,0,Spring,0
2022/4/15,P0001,Household,25,144,34.27,Cloudy,0,Spring,0
2022/4/16,P0001,Household,21,123,34.27,Cloudy,0,Spring,0
2022/4/17,P0001,Household,88,392,34.27,Cloudy,0,Spring,0
2022/4/18,P0001,Household,32,360,34.27,Sunny,0,Spring,0
2022/4/19,P0001,Household,48,312,34.27,Rainy,0,Spring,0
2022/4/20,P0001,Household,32,280,34.27,Cloudy,0,Spring,0
2022/4/21,P0001,Household,29,251,34.27,Sunny,1,Spring,13
2022/4/22,P0001,Household,58,193,34.27,Sunny,0,Spring,0
2022/4/23,P0001,Household,78,115,34.27,Sunny,0,Spring,0
2022/4/24,P0001,Household,82,383,34.27,Sunny,0,Spring,0
2022/4/25,P0001,Household,55,328,34.27,Cloudy,0,Spring,0
2022/4/26,P0001,Household,26,302,34.27,Sunny,0,Spring,0
2022/4/27,P0001,Household,76,226,34.27,Cloudy,0,Spring,0
2022/4/28,P0001,Household,68,158,34.27,Sunny,0,Spring,0
2022/4/29,P0001,Household,42,116,34.27,Sunny,0,Spring,0
2022/4/30,P0001,Household,29,384,34.27,Rainy,0,Spring,0
2022/5/1,P0001,Household,36,348,34.27,Sunny,0,Spring,0
2022/5/2,P0001,Household,32,316,34.27,Sunny,0,Spring,0
2022/5/3,P0001,Household,70,246,34.27,Cloudy,0,Spring,0
2022/5/4,P0001,Household,55,191,34.27,Sunny,0,Spring,0
2022/5/5,P0001,Household,65,126,34.27,Rainy,0,Spring,0
2022/5/6,P0001,Household,59,223,34.27,Rainy,0,Spring,0
2022/5/7,P0001,Household,56,167,34.27,Cloudy,0,Spring,0
2022/5/8,P0001,Household,87,308,34.27,Cloudy,0,Spring,0
2022/5/9,P0001,Household,32,276,34.27,Cloudy,0,Spring,0
2022/5/10,P0001,Household,32,244,34.27,Cloudy,0,Spring,0
2022/5/11,P0001,Household,78,166,34.27,Sunny,0,Spring,0
2022/5/12,P0001,Household,24,142,34.27,Rainy,0,Spring,0
2022/5/13,P0001,Household,38,104,34.27,Cloudy,0,Spring,0
2022/5/14,P0001,Household,79,372,34.27,Sunny,0,Spring,0
2022/5/15,P0001,Household,72,300,34.27,Sunny,1,Spring,12
2022/5/16,P0001,Household,27,273,34.27,Rainy,0,Spring,0
2022/5/17,P0001,Household,71,202,34.27,Cloudy,0,Spring,0
2022/5/18,P0001,Household,48,154,34.27,Cloudy,0,Spring,0
2022/5/19,P0001,Household,64,377,34.27,Cloudy,0,Spring,0
2022/5/20,P0001,Household,46,331,34.27,Rainy,0,Spring,0
2022/5/21,P0001,Household,73,258,34.27,Sunny,0,Spring,0
2022/5/22,P0001,Household,26,232,34.27,Rainy,0,Spring,0
2022/5/23,P0001,Household,74,158,34.27,Cloudy,0,Spring,0
2022/5/24,P0001,Household,52,106,34.27,Cloudy,0,Spring,0
2022/5/25,P0001,Household,75,265,34.27,Sunny,0,Spring,0
2022/5/26,P0001,Household,67,198,34.27,Cloudy,0,Spring,0
2022/5/27,P0001,Household,57,141,34.27,Cloudy,0,Spring,0
2022/5/28,P0001,Household,88,237,34.27,Cloudy,0,Spring,0
2022/5/29,P0001,Household,91,146,34.27,Cloudy,0,Spring,0
2022/5/30,P0001,Household,48,299,34.27,Rainy,0,Spring,0
2022/5/31,P0001,Household,54,245,34.27,Rainy,0,Spring,0
2022/6/1,P0001,Household,101,144,34.27,Cloudy,1,Spring,12
2022/6/2,P0001,Household,59,424,34.27,Rainy,0,Spring,0
2022/6/3,P0001,Household,75,349,34.27,Rainy,0,Spring,0
2022/6/4,P0001,Household,71,278,34.27,Cloudy,1,Spring,11
2022/6/5,P0001,Household,81,197,34.27,Rainy,0,Spring,0
2022/6/6,P0001,Household,55,142,34.27,Rainy,0,Spring,0
2022/6/7,P0001,Household,85,243,34.27,Sunny,0,Spring,0
2022/6/8,P0001,Household,28,215,34.27,Cloudy,0,Spring,0
2022/6/9,P0001,Household,75,140,34.27,Rainy,0,Spring,0
2022/6/10,P0001,Household,23,117,34.27,Rainy,0,Spring,0
2022/6/11,P0001,Household,72,266,34.27,Cloudy,0,Spring,0
2022/6/12,P0001,Household,69,197,34.27,Rainy,0,Spring,0
2022/6/13,P0001,Household,57,140,34.27,Rainy,0,Spring,0
2022/6/14,P0001,Household,46,332,34.27,Rainy,0,Spring,0
2022/6/15,P0001,Household,27,305,34.27,Cloudy,0,Spring,0
2022/6/16,P0001,Household,87,218,34.27,Rainy,0,Spring,0
2022/6/17,P0001,Household,43,175,34.27,Rainy,0,Spring,0
2022/6/18,P0001,Household,68,107,34.27,Sunny,0,Spring,0
2022/6/19,P0001,Household,51,428,34.27,Cloudy,0,Spring,0
2022/6/20,P0001,Household,62,366,34.27,Sunny,1,Spring,5
2022/6/21,P0001,Household,45,321,34.27,Sunny,0,Spring,0
2022/6/22,P0001,Household,103,218,34.27,Sunny,0,Spring,0
2022/6/23,P0001,Household,25,193,34.27,Cloudy,0,Spring,0
2022/6/24,P0001,Household,93,100,34.27,Sunny,0,Spring,0
2022/6/25,P0001,Household,73,271,34.27,Sunny,0,Spring,0
2022/6/26,P0001,Household,118,153,34.27,Cloudy,0,Spring,0
2022/6/27,P0001,Household,48,105,34.27,Sunny,0,Spring,0
2022/6/28,P0001,Household,60,409,34.27,Sunny,0,Spring,0
2022/6/29,P0001,Household,26,383,34.27,Rainy,0,Spring,0
2022/1/1,P0002,Household,36,323,10.25,Cloudy,0,Winter,0
2022/1/2,P0002,Household,61,262,10.25,Rainy,0,Winter,0
2022/1/3,P0002,Household,50,212,10.25,Rainy,0,Winter,0
2022/1/4,P0002,Household,27,185,10.25,Sunny,0,Winter,0
2022/1/5,P0002,Household,62,123,10.25,Rainy,0,Winter,0
2022/1/6,P0002,Household,39,324,10.25,Cloudy,0,Winter,0
2022/1/7,P0002,Household,39,285,10.25,Cloudy,0,Winter,0
2022/1/8,P0002,Household,40,245,10.25,Sunny,0,Winter,0
2022/1/9,P0002,Household,41,204,10.25,Cloudy,0,Winter,0
2022/1/10,P0002,Household,20,184,10.25,Cloudy,0,Winter,0
2022/1/11,P0002,Household,44,140,10.25,Rainy,0,Winter,0
2022/1/12,P0002,Household,40,100,10.25,Rainy,0,Winter,0
2022/1/13,P0002,Household,36,401,10.25,Rainy,0,Winter,0
2022/1/14,P0002,Household,42,359,10.25,Cloudy,0,Winter,0
2022/1/15,P0002,Household,41,318,10.25,Sunny,0,Winter,0
2022/1/16,P0002,Household,24,294,10.25,Sunny,0,Winter,0
2022/1/17,P0002,Household,71,223,10.25,Sunny,0,Winter,0
2022/1/18,P0002,Household,71,152,10.25,Cloudy,0,Winter,0
2022/1/19,P0002,Household,56,398,10.25,Rainy,1,Winter,5
2022/1/20,P0002,Household,71,327,10.25,Rainy,0,Winter,0
2022/1/21,P0002,Household,57,270,10.25,Sunny,0,Winter,0
2022/1/22,P0002,Household,49,221,10.25,Rainy,0,Winter,0
2022/1/23,P0002,Household,22,199,10.25,Sunny,0,Winter,0
2022/1/24,P0002,Household,57,142,10.25,Sunny,0,Winter,0
2022/1/25,P0002,Household,41,101,10.25,Rainy,0,Winter,0
2022/1/26,P0002,Household,48,317,10.25,Sunny,1,Winter,13
2022/1/27,P0002,Household,59,258,10.25,Sunny,0,Winter,0
2022/1/28,P0002,Household,22,236,10.25,Rainy,0,Winter,0
2022/1/29,P0002,Household,22,214,10.25,Sunny,0,Winter,0
2022/1/30,P0002,Household,41,173,10.25,Sunny,1,Winter,9
2022/1/31,P0002,Household,47,126,10.25,Sunny,0,Winter,0
2022/2/1,P0002,Household,63,299,10.25,Sunny,0,Winter,0
2022/2/2,P0002,Household,20,279,10.25,Rainy,1,Winter,20
2022/2/3,P0002,Household,59,220,10.25,Rainy,0,Winter,0
2022/2/4,P0002,Household,23,197,10.25,Sunny,0,Winter,0
2022/2/5,P0002,Household,71,126,10.25,Sunny,0,Winter,0
2022/2/6,P0002,Household,84,338,10.25,Sunny,0,Winter,0
2022/2/7,P0002,Household,78,260,10.25,Sunny,0,Winter,0
2022/2/8,P0002,Household,74,186,10.25,Sunny,0,Winter,0
2022/2/9,P0002,Household,58,128,10.25,Sunny,0,Winter,0
2022/2/10,P0002,Household,52,473,10.25,Rainy,0,Winter,0
2022/2/11,P0002,Household,32,441,10.25,Sunny,0,Winter,0
2022/2/12,P0002,Household,80,361,10.25,Rainy,0,Winter,0
2022/2/13,P0002,Household,29,332,10.25,Cloudy,0,Winter,0
2022/2/14,P0002,Household,76,256,10.25,Sunny,0,Winter,0
2022/2/15,P0002,Household,52,204,10.25,Cloudy,0,Winter,0
2022/2/16,P0002,Household,29,175,10.25,Sunny,0,Winter,0
2022/2/17,P0002,Household,55,120,10.25,Rainy,0,Winter,0
2022/2/18,P0002,Household,49,238,10.25,Sunny,0,Winter,0
2022/2/19,P0002,Household,37,201,10.25,Rainy,0,Winter,0
2022/2/20,P0002,Household,40,161,10.25,Rainy,0,Winter,0
2022/2/21,P0002,Household,58,103,10.25,Sunny,0,Winter,0
2022/2/22,P0002,Household,66,342,10.25,Cloudy,0,Winter,0
2022/2/23,P0002,Household,66,276,10.25,Rainy,0,Winter,0
2022/2/24,P0002,Household,30,246,10.25,Rainy,0,Winter,0
2022/2/25,P0002,Household,40,206,10.25,Cloudy,0,Winter,0
2022/2/26,P0002,Household,63,143,10.25,Cloudy,0,Winter,0
2022/2/27,P0002,Household,33,110,10.25,Cloudy,0,Winter,0
2022/2/28,P0002,Household,37,441,10.25,Rainy,0,Winter,0
2022/3/1,P0002,Household,48,393,10.25,Cloudy,0,Winter,0
2022/3/2,P0002,Household,108,285,10.25,Cloudy,1,Winter,5
2022/3/3,P0002,Household,22,263,10.25,Rainy,0,Winter,0
2022/3/4,P0002,Household,44,219,10.25,Cloudy,0,Winter,0
2022/3/5,P0002,Household,36,183,10.25,Sunny,0,Winter,0
2022/3/6,P0002,Household,45,138,10.25,Cloudy,0,Winter,0
2022/3/7,P0002,Household,30,108,10.25,Cloudy,1,Winter,13
2022/3/8,P0002,Household,38,366,10.25,Sunny,0,Winter,0
2022/3/9,P0002,Household,41,325,10.25,Cloudy,0,Winter,0
2022/3/10,P0002,Household,65,260,10.25,Rainy,0,Winter,0
2022/3/11,P0002,Household,26,234,10.25,Rainy,0,Winter,0
2022/3/12,P0002,Household,54,180,10.25,Sunny,0,Winter,0
2022/3/13,P0002,Household,88,465,10.25,Sunny,0,Winter,0
2022/3/14,P0002,Household,28,437,10.25,Cloudy,0,Winter,0
2022/3/15,P0002,Household,26,411,10.25,Rainy,0,Winter,0
2022/3/16,P0002,Household,43,368,10.25,Cloudy,0,Winter,0
2022/3/17,P0002,Household,68,300,10.25,Cloudy,0,Winter,0
2022/3/18,P0002,Household,64,236,10.25,Rainy,0,Winter,0
2022/3/19,P0002,Household,36,200,10.25,Rainy,0,Winter,0
2022/3/20,P0002,Household,85,115,10.25,Rainy,0,Winter,0
2022/3/21,P0002,Household,46,409,10.25,Rainy,0,Winter,0
2022/3/22,P0002,Household,48,361,10.25,Sunny,0,Winter,0
2022/3/23,P0002,Household,33,328,10.25,Rainy,0,Winter,0
2022/3/24,P0002,Household,88,240,10.25,Sunny,0,Winter,0
2022/3/25,P0002,Household,75,165,10.25,Cloudy,0,Winter,0
2022/3/26,P0002,Household,60,105,10.25,Rainy,0,Winter,0
2022/3/27,P0002,Household,73,378,10.25,Rainy,0,Winter,0
2022/3/28,P0002,Household,30,348,10.25,Cloudy,0,Winter,0
2022/3/29,P0002,Household,66,282,10.25,Rainy,0,Winter,0
2022/3/30,P0002,Household,21,261,10.25,Sunny,0,Winter,0
2022/3/31,P0002,Household,52,209,10.25,Rainy,0,Winter,0
2022/4/1,P0002,Household,48,161,10.25,Cloudy,1,Spring,11
2022/4/2,P0002,Household,51,110,10.25,Rainy,0,Spring,0
2022/4/3,P0002,Household,59,395,10.25,Sunny,0,Spring,0
2022/4/4,P0002,Household,40,355,10.25,Cloudy,0,Spring,0
2022/4/5,P0002,Household,80,275,10.25,Sunny,0,Spring,0
2022/4/6,P0002,Household,51,224,10.25,Rainy,0,Spring,0
2022/4/7,P0002,Household,39,185,10.25,Sunny,0,Spring,0
2022/4/8,P0002,Household,29,156,10.25,Rainy,0,Spring,0
2022/4/9,P0002,Household,47,109,10.25,Rainy,0,Spring,0
2022/4/10,P0002,Household,35,298,10.25,Rainy,0,Spring,0
2022/4/11,P0002,Household,60,238,10.25,Cloudy,0,Spring,0
2022/4/12,P0002,Household,78,160,10.25,Sunny,0,Spring,0
2022/4/13,P0002,Household,32,128,10.25,Cloudy,0,Spring,0
2022/4/14,P0002,Household,96,251,10.25,Sunny,0,Spring,0
2022/4/15,P0002,Household,60,191,10.25,Rainy,0,Spring,0
2022/4/16,P0002,Household,59,132,10.25,Rainy,0,Spring,0
2022/4/17,P0002,Household,64,355,10.25,Rainy,0,Spring,0
2022/4/18,P0002,Household,72,283,10.25,Sunny,0,Spring,0
2022/4/19,P0002,Household,62,221,10.25,Cloudy,0,Spring,0
2022/4/20,P0002,Household,56,165,10.25,Cloudy,0,Spring,0
2022/4/21,P0002,Household,64,101,10.25,Sunny,0,Spring,0
2022/4/22,P0002,Household,23,312,10.25,Cloudy,0,Spring,0
2022/4/23,P0002,Household,32,280,10.25,Rainy,0,Spring,0
2022/4/24,P0002,Household,37,243,10.25,Sunny,0,Spring,0
2022/4/25,P0002,Household,30,213,10.25,Cloudy,0,Spring,0
2022/4/26,P0002,Household,40,173,10.25,Cloudy,0,Spring,0
2022/4/27,P0002,Household,39,134,10.25,Sunny,0,Spring,0
2022/4/28,P0002,Household,62,435,10.25,Sunny,0,Spring,0
2022/4/29,P0002,Household,66,369,10.25,Sunny,1,Spring,14
2022/4/30,P0002,Household,47,322,10.25,Rainy,0,Spring,0
2022/5/1,P0002,Household,83,239,10.25,Sunny,0,Spring,0
2022/5/2,P0002,Household,43,196,10.25,Cloudy,0,Spring,0
2022/5/3,P0002,Household,36,160,10.25,Cloudy,1,Spring,17
2022/5/4,P0002,Household,30,130,10.25,Sunny,0,Spring,0
2022/5/5,P0002,Household,30,100,10.25,Sunny,0,Spring,0
2022/5/6,P0002,Household,46,322,10.25,Rainy,0,Spring,0
2022/5/7,P0002,Household,49,273,10.25,Sunny,0,Spring,0
2022/5/8,P0002,Household,81,192,10.25,Rainy,0,Spring,0
2022/5/9,P0002,Household,17,175,10.25,Cloudy,0,Spring,0
2022/5/10,P0002,Household,61,114,10.25,Sunny,0,Spring,0
2022/5/11,P0002,Household,82,191,10.25,Sunny,0,Spring,0
2022/5/12,P0002,Household,41,150,10.25,Cloudy,0,Spring,0
2022/5/13,P0002,Household,60,459,10.25,Sunny,0,Spring,0
2022/5/14,P0002,Household,32,427,10.25,Cloudy,0,Spring,0
2022/5/15,P0002,Household,72,355,10.25,Sunny,0,Spring,0
2022/5/16,P0002,Household,67,288,10.25,Rainy,0,Spring,0
2022/5/17,P0002,Household,18,270,10.25,Cloudy,0,Spring,0
2022/5/18,P0002,Household,73,197,10.25,Sunny,0,Spring,0
2022/5/19,P0002,Household,47,150,10.25,Cloudy,0,Spring,0
2022/5/20,P0002,Household,25,125,10.25,Sunny,0,Spring,0
2022/5/21,P0002,Household,72,325,10.25,Sunny,0,Spring,0
2022/5/22,P0002,Household,93,232,10.25,Sunny,0,Spring,0
2022/5/23,P0002,Household,72,160,10.25,Cloudy,0,Spring,0
2022/5/24,P0002,Household,50,110,10.25,Sunny,0,Spring,0
2022/5/25,P0002,Household,32,238,10.25,Sunny,1,Spring,5
2022/5/26,P0002,Household,30,208,10.25,Sunny,0,Spring,0
2022/5/27,P0002,Household,34,174,10.25,Sunny,0,Spring,0
2022/5/28,P0002,Household,52,122,10.25,Sunny,0,Spring,0
2022/5/29,P0002,Household,65,311,10.25,Cloudy,0,Spring,0
2022/5/30,P0002,Household,48,263,10.25,Cloudy,0,Spring,0
2022/5/31,P0002,Household,43,220,10.25,Rainy,0,Spring,0
2022/6/1,P0002,Household,70,150,10.25,Sunny,1,Spring,17
2022/6/2,P0002,Household,53,308,10.25,Sunny,0,Spring,0
2022/6/3,P0002,Household,29,279,10.25,Rainy,0,Spring,0
2022/6/4,P0002,Household,35,244,10.25,Rainy,0,Spring,0
2022/6/5,P0002,Household,68,176,10.25,Cloudy,0,Spring,0
2022/6/6,P0002,Household,31,145,10.25,Rainy,0,Spring,0
2022/6/7,P0002,Household,84,391,10.25,Rainy,1,Spring,11
2022/6/8,P0002,Household,79,312,10.25,Cloudy,0,Spring,0
2022/6/9,P0002,Household,43,269,10.25,Cloudy,0,Spring,0
2022/6/10,P0002,Household,59,210,10.25,Cloudy,1,Spring,10
2022/6/11,P0002,Household,83,127,10.25,Cloudy,0,Spring,0
2022/6/12,P0002,Household,34,465,10.25,Cloudy,0,Spring,0
2022/6/13,P0002,Household,56,409,10.25,Cloudy,0,Spring,0
2022/6/14,P0002,Household,78,331,10.25,Cloudy,0,Spring,0
2022/6/15,P0002,Household,91,240,10.25,Cloudy,0,Spring,0
2022/6/16,P0002,Household,87,153,10.25,Rainy,0,Spring,0
2022/6/17,P0002,Household,100,394,10.25,Sunny,0,Spring,0
2022/6/18,P0002,Household,48,346,10.25,Sunny,0,Spring,0
2022/6/19,P0002,Household,95,251,10.25,Cloudy,0,Spring,0
2022/6/20,P0002,Household,69,182,10.25,Sunny,0,Spring,0
2022/6/21,P0002,Household,63,119,10.25,Rainy,0,Spring,0
2022/6/22,P0002,Household,99,253,10.25,Cloudy,1,Spring,19
2022/6/23,P0002,Household,70,183,10.25,Rainy,0,Spring,0
2022/6/24,P0002,Household,69,114,10.25,Cloudy,0,Spring,0
2022/6/25,P0002,Household,72,329,10.25,Cloudy,0,Spring,0
2022/6/26,P0002,Household,88,241,10.25,Sunny,0,Spring,0
2022/6/27,P0002,Household,68,173,10.25,Sunny,0,Spring,0
2022/6/28,P0002,Household,75,406,10.25,Rainy,0,Spring,0
2022/6/29,P0002,Household,94,312,10.25,Sunny,0,Spring,0
2022/1/1,P0003,Groceries,21,350,24.05,Sunny,1,Winter,11
2022/1/2,P0003,Groceries,34,316,24.05,Cloudy,0,Winter,0
2022/1/3,P0003,Groceries,41,275,24.05,Rainy,0,Winter,0
2022/1/4,P0003,Groceries,58,217,24.05,Cloudy,0,Winter,0
2022/1/5,P0003,Groceries,58,159,24.05,Sunny,1,Winter,12
2022/1/6,P0003,Groceries,47,112,24.05,Rainy,0,Winter,0
2022/1/7,P0003,Groceries,34,409,24.05,Cloudy,1,Winter,16
2022/1/8,P0003,Groceries,26,383,24.05,Sunny,0,Winter,0
2022/1/9,P0003,Groceries,20,363,24.05,Cloudy,0,Winter,0
2022/1/10,P0003,Groceries,75,288,24.05,Sunny,0,Winter,0
2022/1/11,P0003,Groceries,46,242,24.05,Sunny,0,Winter,0
2022/1/12,P0003,Groceries,58,184,24.05,Sunny,0,Winter,0
2022/1/13,P0003,Groceries,52,132,24.05,Cloudy,0,Winter,0
2022/1/14,P0003,Groceries,60,357,24.05,Rainy,0,Winter,0
2022/1/15,P0003,Groceries,56,301,24.05,Rainy,0,Winter,0
2022/1/16,P0003,Groceries,51,250,24.05,Sunny,0,Winter,0
2022/1/17,P0003,Groceries,56,194,24.05,Cloudy,0,Winter,0
2022/1/18,P0003,Groceries,41,153,24.05,Sunny,0,Winter,0
2022/1/19,P0003,Groceries,20,133,24.05,Cloudy,0,Winter,0
2022/1/20,P0003,Groceries,24,109,24.05,Rainy,0,Winter,0
2022/1/21,P0003,Groceries,43,455,24.05,Cloudy,0,Winter,0
2022/1/22,P0003,Groceries,57,398,24.05,Sunny,0,Winter,0
2022/1/23,P0003,Groceries,56,342,24.05,Rainy,0,Winter,0
2022/1/24,P0003,Groceries,65,277,24.05,Cloudy,0,Winter,0
2022/1/25,P0003,Groceries,56,221,24.05,Sunny,1,Winter,11
2022/1/26,P0003,Groceries,39,182,24.05,Rainy,0,Winter,0
2022/1/27,P0003,Groceries,47,135,24.05,Cloudy,0,Winter,0
2022/1/28,P0003,Groceries,49,412,24.05,Sunny,0,Winter,0
2022/1/29,P0003,Groceries,22,390,24.05,Cloudy,0,Winter,0
2022/1/30,P0003,Groceries,45,345,24.05,Sunny,0,Winter,0
2022/1/31,P0003,Groceries,71,274,24.05,Cloudy,0,Winter,0
