Date,Product ID,Category,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Holiday/Promotion,Seasonality
2022-01-02,P0007,Snacks,1497.3,138.7,0.0,21.07,17.5,Rainy,1,Winter
2022-01-02,P0008,Snacks,1197.8,306.5,0.0,31.74,32.7,Rainy,1,Winter
2022-01-02,P0009,Snacks,522.6,144.3,0.0,13.71,18.1,Rainy,1,Winter
2022-01-02,P0010,Groceries,1323.2,194.9,0.0,39.57,34.9,Rainy,1,Winter
2022-01-02,P0011,Household,1175.5,114.0,0.0,23.36,34.5,Rainy,1,Winter
2022-01-02,P0012,Groceries,887.0,79.3,0.0,61.61,22.6,Rainy,1,Winter
2022-01-02,P0013,Beverages,771.9,458.5,0.0,56.16,29.2,Rainy,1,Winter
2022-01-02,P0014,Personal Care,723.5,256.1,0.0,28.85,29.1,Rainy,1,Winter
2022-01-02,P0015,Personal Care,947.2,72.8,0.0,67.95,12.7,Rainy,1,Winter
2022-01-02,P0016,Household,1125.7,296.3,0.0,24.68,37.3,Rainy,1,Winter
2022-01-02,P0017,Beverages,1030.2,296.3,0.0,33.59,25.7,Rainy,1,Winter
2022-01-02,P0018,Beverages,797.2,90.8,0.0,34.49,35.3,Rainy,1,Winter
2022-01-02,P0019,Groceries,1070.0,527.6,0.0,29.8,12.0,Rainy,1,Winter
2022-01-02,P0020,Household,671.1,86.7,0.0,43.68,16.3,Rainy,1,Winter
2022-01-03,P0001,Personal Care,1569.7,101.6,0.0,61.24,0.0,Rainy,0,Winter
2022-01-03,P0002,Personal Care,1952.8,334.2,1179.1,26.29,0.0,Rainy,0,Winter
2022-01-03,P0003,Groceries,392.3,49.4,0.0,56.38,0.0,Rainy,0,Winter
2022-01-03,P0004,Personal Care,967.5,74.5,0.0,30.74,0.0,Rainy,0,Winter
2022-01-03,P0005,Personal Care,897.9,126.0,0.0,72.1,0.0,Rainy,0,Winter
2022-01-03,P0006,Personal Care,1744.8,152.4,0.0,51.92,0.0,Rainy,0,Winter
2022-01-03,P0007,Snacks,1406.1,91.2,0.0,25.55,0.0,Rainy,0,Winter
2022-01-03,P0008,Snacks,1059.9,138.0,0.0,47.17,0.0,Rainy,0,Winter
2022-01-03,P0009,Snacks,449.8,72.8,0.0,16.73,0.0,Rainy,0,Winter
2022-01-03,P0010,Groceries,1222.9,100.2,0.0,60.82,0.0,Rainy,0,Winter
2022-01-03,P0011,Household,1130.1,45.4,0.0,35.65,0.0,Rainy,0,Winter
2022-01-03,P0012,Groceries,844.7,42.3,0.0,60.16,24.4,Rainy,0,Winter
2022-01-03,P0013,Beverages,1307.0,126.6,661.7,79.3,0.0,Rainy,0,Winter
2022-01-03,P0014,Personal Care,1242.0,124.9,643.3,40.69,0.0,Rainy,0,Winter
2022-01-03,P0015,Personal Care,895.7,51.5,0.0,49.8,36.0,Rainy,0,Winter
2022-01-03,P0016,Household,1062.2,63.5,0.0,39.37,0.0,Rainy,0,Winter
2022-01-03,P0017,Beverages,910.7,119.5,0.0,45.22,0.0,Rainy,0,Winter
2022-01-03,P0018,Beverages,773.4,23.8,0.0,53.28,0.0,Rainy,0,Winter
2022-01-03,P0019,Groceries,842.6,227.4,0.0,33.86,0.0,Rainy,0,Winter
2022-01-03,P0020,Household,595.6,75.5,0.0,44.87,14.0,Rainy,0,Winter
2022-01-04,P0001,Personal Care,1429.0,140.8,0.0,61.24,0.0,Rainy,0,Winter
2022-01-04,P0002,Personal Care,1682.1,270.6,0.0,26.29,0.0,Rainy,0,Winter
2022-01-04,P0003,Groceries,665.8,146.0,419.6,38.27,32.1,Rainy,0,Winter
2022-01-04,P0004,Personal Care,917.3,50.2,0.0,30.74,0.0,Rainy,0,Winter
2022-01-04,P0005,Personal Care,716.0,181.9,0.0,53.31,26.1,Rainy,0,Winter
2022-01-04,P0006,Personal Care,1625.2,119.6,0.0,51.92,0.0,Rainy,0,Winter
2022-01-04,P0007,Snacks,1332.6,73.5,0.0,25.55,0.0,Rainy,0,Winter
2022-01-04,P0008,Snacks,862.4,197.4,0.0,47.17,0.0,Rainy,0,Winter
2022-01-04,P0009,Snacks,827.6,130.0,507.8,16.73,0.0,Rainy,0,Winter
2022-01-04,P0010,Groceries,1124.5,98.4,0.0,60.82,0.0,Rainy,0,Winter
2022-01-04,P0011,Household,1078.6,51.5,0.0,35.65,0.0,Rainy,0,Winter
2022-01-04,P0012,Groceries,818.5,26.2,0.0,79.62,0.0,Rainy,0,Winter
2022-01-04,P0013,Beverages,1198.6,108.4,0.0,79.3,0.0,Rainy,0,Winter
2022-01-04,P0014,Personal Care,1091.6,150.3,0.0,40.69,0.0,Rainy,0,Winter
2022-01-04,P0015,Personal Care,837.5,58.1,0.0,64.82,16.8,Rainy,0,Winter
2022-01-04,P0016,Household,1006.1,56.1,0.0,39.37,0.0,Rainy,0,Winter
2022-01-04,P0017,Beverages,687.9,222.8,0.0,29.77,34.2,Rainy,0,Winter
2022-01-04,P0018,Beverages,741.6,31.8,0.0,53.28,0.0,Rainy,0,Winter
2022-01-04,P0019,Groceries,1597.5,513.9,1268.9,20.57,39.3,Rainy,0,Winter
2022-01-04,P0020,Household,543.9,51.7,0.0,52.17,0.0,Rainy,0,Winter
2022-01-05,P0001,Personal Care,1164.5,264.5,0.0,61.24,0.0,Cold,0,Winter
2022-01-05,P0002,Personal Care,1509.9,172.2,0.0,26.29,0.0,Cold,0,Winter
2022-01-05,P0003,Groceries,594.7,71.1,0.0,56.38,0.0,Cold,0,Winter
2022-01-05,P0004,Personal Care,843.2,74.1,0.0,30.74,0.0,Cold,0,Winter
2022-01-05,P0005,Personal Care,1347.6,175.9,807.5,72.1,0.0,Cold,0,Winter
2022-01-05,P0006,Personal Care,1235.0,390.1,0.0,38.85,25.2,Cold,0,Winter
2022-01-05,P0007,Snacks,1234.0,98.6,0.0,25.55,0.0,Cold,0,Winter
2022-01-05,P0008,Snacks,761.3,101.2,0.0,47.17,0.0,Cold,0,Winter
2022-01-05,P0009,Snacks,718.7,108.9,0.0,16.73,0.0,Cold,0,Winter
2022-01-05,P0010,Groceries,1033.8,90.7,0.0,60.82,0.0,Cold,0,Winter
2022-01-05,P0011,Household,1015.4,63.3,0.0,35.65,0.0,Cold,0,Winter
2022-01-05,P0012,Groceries,788.5,30.0,0.0,79.62,0.0,Cold,0,Winter
2022-01-05,P0013,Beverages,845.2,353.4,0.0,51.13,35.5,Cold,0,Winter
2022-01-05,P0014,Personal Care,939.8,151.8,0.0,40.69,0.0,Cold,0,Winter
2022-01-05,P0015,Personal Care,797.0,40.6,0.0,77.87,0.0,Cold,0,Winter
2022-01-05,P0016,Household,932.7,73.4,0.0,39.37,0.0,Cold,0,Winter
2022-01-05,P0017,Beverages,1326.5,169.1,807.8,45.22,0.0,Cold,0,Winter
2022-01-05,P0018,Beverages,707.3,34.3,0.0,53.28,0.0,Cold,0,Winter
2022-01-05,P0019,Groceries,1437.0,160.5,0.0,33.86,0.0,Cold,0,Winter
2022-01-05,P0020,Household,504.2,39.7,0.0,52.17,0.0,Cold,0,Winter
2022-01-06,P0001,Personal Care,1911.3,273.4,1020.2,61.24,0.0,Hot,0,Winter
2022-01-06,P0002,Personal Care,1248.8,261.2,0.0,26.29,0.0,Hot,0,Winter
2022-01-06,P0003,Groceries,503.3,91.4,0.0,56.38,0.0,Hot,0,Winter
2022-01-06,P0004,Personal Care,772.3,70.9,0.0,30.74,0.0,Hot,0,Winter
2022-01-06,P0005,Personal Care,1239.2,108.4,0.0,72.1,0.0,Hot,0,Winter
2022-01-06,P0006,Personal Care,1044.6,190.4,0.0,51.92,0.0,Hot,0,Winter
2022-01-06,P0007,Snacks,1177.1,56.8,0.0,25.55,0.0,Hot,0,Winter
2022-01-06,P0008,Snacks,1425.3,194.2,858.2,47.17,0.0,Hot,0,Winter
2022-01-06,P0009,Snacks,650.2,68.5,0.0,16.73,0.0,Hot,0,Winter
2022-01-06,P0010,Groceries,932.1,101.7,0.0,60.82,0.0,Hot,0,Winter
2022-01-06,P0011,Household,953.8,61.5,0.0,35.65,0.0,Hot,0,Winter
2022-01-06,P0012,Groceries,752.4,36.1,0.0,79.62,0.0,Hot,0,Winter
2022-01-06,P0013,Beverages,678.2,167.0,0.0,79.3,0.0,Hot,0,Winter
2022-01-06,P0014,Personal Care,651.3,288.5,0.0,34.13,16.1,Hot,0,Winter
2022-01-06,P0015,Personal Care,754.1,42.8,0.0,77.87,0.0,Hot,0,Winter
2022-01-06,P0016,Household,761.3,171.4,0.0,29.1,26.1,Hot,0,Winter
2022-01-06,P0017,Beverages,1129.8,196.8,0.0,45.22,0.0,Hot,0,Winter
2022-01-06,P0018,Beverages,683.6,23.7,0.0,53.28,0.0,Hot,0,Winter
2022-01-06,P0019,Groceries,1312.4,124.6,0.0,33.86,0.0,Hot,0,Winter
2022-01-06,P0020,Household,448.2,56.0,0.0,52.17,0.0,Hot,0,Winter
2022-01-07,P0001,Personal Care,1666.8,244.5,0.0,61.24,0.0,Sunny,0,Winter
2022-01-07,P0002,Personal Care,1051.3,197.5,0.0,26.29,0.0,Sunny,0,Winter
2022-01-07,P0003,Groceries,429.1,74.2,0.0,56.38,0.0,Sunny,0,Winter
2022-01-07,P0004,Personal Care,710.3,62.0,0.0,30.74,0.0,Sunny,0,Winter
2022-01-07,P0005,Personal Care,1081.4,157.8,0.0,72.1,0.0,Sunny,0,Winter
2022-01-07,P0006,Personal Care,1897.1,141.6,994.1,51.92,0.0,Sunny,0,Winter
2022-01-07,P0007,Snacks,981.4,195.8,0.0,22.22,13.0,Sunny,0,Winter
2022-01-07,P0008,Snacks,1274.4,150.9,0.0,47.17,0.0,Sunny,0,Winter
2022-01-07,P0009,Snacks,472.3,178.0,0.0,10.45,37.6,Sunny,0,Winter
2022-01-07,P0010,Groceries,811.8,120.2,0.0,60.82,0.0,Sunny,0,Winter
2022-01-07,P0011,Household,876.6,77.3,0.0,31.26,12.3,Sunny,0,Winter
2022-01-07,P0012,Groceries,725.5,26.9,0.0,79.62,0.0,Sunny,0,Winter
2022-01-07,P0013,Beverages,1307.0,121.0,749.8,79.3,0.0,Sunny,0,Winter
2022-01-07,P0014,Personal Care,1242.0,85.4,676.1,40.69,0.0,Sunny,0,Winter
2022-01-07,P0015,Personal Care,716.1,38.1,0.0,77.87,0.0,Sunny,0,Winter
2022-01-07,P0016,Household,663.8,97.5,0.0,39.37,0.0,Sunny,0,Winter
2022-01-07,P0017,Beverages,1024.4,105.4,0.0,45.22,0.0,Sunny,0,Winter
2022-01-07,P0018,Beverages,657.1,26.5,0.0,53.28,0.0,Sunny,0,Winter
2022-01-07,P0019,Groceries,1161.0,151.4,0.0,33.86,0.0,Sunny,0,Winter
2022-01-07,P0020,Household,388.0,60.2,0.0,52.17,0.0,Sunny,0,Winter
2022-01-08,P0001,Personal Care,1286.5,380.3,0.0,54.51,11.0,Hot,1,Winter
2022-01-08,P0002,Personal Care,1952.8,724.9,1626.4,22.36,15.0,Hot,1,Winter
2022-01-08,P0003,Groceries,665.8,168.5,405.2,45.47,19.3,Hot,1,Winter
2022-01-08,P0004,Personal Care,612.1,98.2,0.0,25.7,16.4,Hot,1,Winter
2022-01-08,P0005,Personal Care,1347.6,591.7,857.9,43.79,39.3,Hot,1,Winter
2022-01-08,P0006,Personal Care,1634.9,262.3,0.0,38.39,26.1,Hot,1,Winter
2022-01-08,P0007,Snacks,788.2,193.2,0.0,20.7,19.0,Hot,1,Winter
2022-01-08,P0008,Snacks,925.7,348.7,0.0,31.13,34.0,Hot,1,Winter
2022-01-08,P0009,Snacks,827.6,164.6,519.9,12.71,24.0,Hot,1,Winter
2022-01-08,P0010,Groceries,519.3,292.5,0.0,44.02,27.6,Hot,1,Winter
2022-01-08,P0011,Household,672.1,204.5,0.0,24.45,31.4,Hot,1,Winter
2022-01-08,P0012,Groceries,642.1,83.4,0.0,59.79,24.9,Hot,1,Winter
2022-01-08,P0013,Beverages,985.6,321.4,0.0,68.92,13.1,Hot,1,Winter
2022-01-08,P0014,Personal Care,959.1,282.9,0.0,33.3,18.2,Hot,1,Winter
2022-01-08,P0015,Personal Care,644.9,71.1,0.0,57.78,25.8,Hot,1,Winter
2022-01-08,P0016,Household,1301.1,132.7,769.9,33.12,15.9,Hot,1,Winter
2022-01-08,P0017,Beverages,684.8,339.6,0.0,32.63,27.9,Hot,1,Winter
2022-01-08,P0018,Beverages,601.9,55.2,0.0,39.05,26.7,Hot,1,Winter
2022-01-08,P0019,Groceries,1597.5,420.6,857.2,22.29,34.2,Hot,1,Winter
2022-01-08,P0020,Household,239.8,148.2,0.0,31.89,38.9,Hot,1,Winter
2022-01-09,P0001,Personal Care,1911.3,336.0,960.8,47.65,22.2,Hot,1,Winter
2022-01-09,P0002,Personal Care,1183.7,769.1,0.0,17.86,32.1,Hot,1,Winter
2022-01-09,P0003,Groceries,440.9,224.9,0.0,48.66,13.7,Hot,1,Winter
2022-01-09,P0004,Personal Care,451.3,160.8,0.0,19.27,37.3,Hot,1,Winter
2022-01-09,P0005,Personal Care,1083.3,264.3,0.0,57.63,20.1,Hot,1,Winter
2022-01-09,P0006,Personal Care,1134.0,500.9,0.0,33.79,34.9,Hot,1,Winter
2022-01-09,P0007,Snacks,479.7,308.4,0.0,17.06,33.2,Hot,1,Winter
2022-01-09,P0008,Snacks,1425.3,425.9,925.5,28.66,39.2,Hot,1,Winter
2022-01-09,P0009,Snacks,672.5,155.1,0.0,14.49,13.4,Hot,1,Winter
2022-01-09,P0010,Groceries,828.6,171.1,480.4,51.41,15.5,Hot,1,Winter
2022-01-09,P0011,Household,544.9,127.2,0.0,26.61,25.4,Hot,1,Winter
2022-01-09,P0012,Groceries,575.2,66.9,0.0,66.45,16.5,Hot,1,Winter
2022-01-09,P0013,Beverages,1307.0,496.7,818.1,61.34,22.7,Hot,1,Winter
2022-01-09,P0014,Personal Care,657.5,301.5,0.0,30.16,25.9,Hot,1,Winter
2022-01-09,P0015,Personal Care,568.5,76.5,0.0,58.45,24.9,Hot,1,Winter
2022-01-09,P0016,Household,1083.9,217.2,0.0,26.93,31.6,Hot,1,Winter
2022-01-09,P0017,Beverages,1326.5,229.9,871.6,38.8,14.2,Hot,1,Winter
2022-01-09,P0018,Beverages,550.6,51.3,0.0,43.94,17.5,Hot,1,Winter
2022-01-09,P0019,Groceries,1043.5,554.0,0.0,25.45,24.8,Hot,1,Winter
2022-01-09,P0020,Household,365.1,133.9,259.1,34.89,33.1,Hot,1,Winter
2022-01-10,P0001,Personal Care,1757.1,154.2,0.0,61.24,0.0,Rainy,0,Winter
2022-01-10,P0002,Personal Care,1952.8,710.0,1479.1,17.06,35.1,Rainy,0,Winter
2022-01-10,P0003,Groceries,381.8,59.1,0.0,56.38,0.0,Rainy,0,Winter
2022-01-10,P0004,Personal Care,378.1,73.2,0.0,30.74,0.0,Rainy,0,Winter
2022-01-10,P0005,Personal Care,948.4,134.9,0.0,72.1,0.0,Rainy,0,Winter
2022-01-10,P0006,Personal Care,1897.1,268.7,1031.8,39.19,24.5,Rainy,0,Winter
2022-01-10,P0007,Snacks,951.3,68.1,539.7,25.55,0.0,Rainy,0,Winter
2022-01-10,P0008,Snacks,1272.2,153.1,0.0,47.17,0.0,Rainy,0,Winter
2022-01-10,P0009,Snacks,605.4,67.0,0.0,16.73,0.0,Rainy,0,Winter
2022-01-10,P0010,Groceries,683.1,145.5,0.0,60.82,0.0,Rainy,0,Winter
2022-01-10,P0011,Household,475.6,69.3,0.0,35.65,0.0,Rainy,0,Winter
2022-01-10,P0012,Groceries,549.4,25.8,0.0,79.62,0.0,Rainy,0,Winter
2022-01-10,P0013,Beverages,1129.0,178.0,0.0,79.3,0.0,Rainy,0,Winter
2022-01-10,P0014,Personal Care,1242.0,113.0,697.5,40.69,0.0,Rainy,0,Winter
2022-01-10,P0015,Personal Care,536.8,31.7,0.0,77.87,0.0,Rainy,0,Winter
2022-01-10,P0016,Household,847.5,236.5,0.0,24.12,38.7,Rainy,0,Winter
2022-01-10,P0017,Beverages,1183.2,143.3,0.0,45.22,0.0,Rainy,0,Winter
2022-01-10,P0018,Beverages,524.5,26.0,0.0,53.28,0.0,Rainy,0,Winter
2022-01-10,P0019,Groceries,1597.5,284.4,838.5,33.86,0.0,Rainy,0,Winter
2022-01-10,P0020,Household,263.4,101.7,0.0,36.47,30.1,Rainy,0,Winter
2022-01-11,P0001,Personal Care,1638.2,119.0,0.0,61.24,0.0,Sunny,0,Winter
2022-01-11,P0002,Personal Care,1451.4,501.4,0.0,17.9,31.9,Sunny,0,Winter
2022-01-11,P0003,Groceries,665.8,67.4,351.4,56.38,0.0,Sunny,0,Winter
2022-01-11,P0004,Personal Care,696.8,54.7,373.4,30.74,0.0,Sunny,0,Winter
2022-01-11,P0005,Personal Care,835.6,112.7,0.0,72.1,0.0,Sunny,0,Winter
2022-01-11,P0006,Personal Care,1750.7,146.4,0.0,51.92,0.0,Sunny,0,Winter
2022-01-11,P0007,Snacks,878.4,72.9,0.0,25.55,0.0,Sunny,0,Winter
2022-01-11,P0008,Snacks,1051.3,220.8,0.0,47.17,0.0,Sunny,0,Winter
2022-01-11,P0009,Snacks,516.9,88.6,0.0,16.73,0.0,Sunny,0,Winter
2022-01-11,P0010,Groceries,589.4,93.7,0.0,60.82,0.0,Sunny,0,Winter
2022-01-11,P0011,Household,422.8,52.8,0.0,35.65,0.0,Sunny,0,Winter
2022-01-11,P0012,Groceries,521.3,28.1,0.0,79.62,0.0,Sunny,0,Winter
2022-01-11,P0013,Beverages,971.0,158.0,0.0,79.3,0.0,Sunny,0,Winter
2022-01-11,P0014,Personal Care,1094.0,148.0,0.0,40.69,0.0,Sunny,0,Winter
2022-01-11,P0015,Personal Care,500.1,36.6,0.0,77.87,0.0,Sunny,0,Winter
2022-01-11,P0016,Household,775.8,71.7,0.0,39.37,0.0,Sunny,0,Winter
2022-01-11,P0017,Beverages,944.9,238.3,0.0,38.18,15.6,Sunny,0,Winter
2022-01-11,P0018,Beverages,480.0,44.6,0.0,47.8,10.3,Sunny,0,Winter
2022-01-11,P0019,Groceries,1283.1,314.5,0.0,29.57,12.7,Sunny,0,Winter
2022-01-11,P0020,Household,216.4,46.9,0.0,52.17,0.0,Sunny,0,Winter
2022-01-12,P0001,Personal Care,1476.5,161.7,0.0,61.24,0.0,Sunny,0,Winter
2022-01-12,P0002,Personal Care,1302.9,148.4,0.0,26.29,0.0,Sunny,0,Winter
2022-01-12,P0003,Groceries,601.2,64.6,0.0,56.38,0.0,Sunny,0,Winter
2022-01-12,P0004,Personal Care,627.9,68.9,0.0,30.74,0.0,Sunny,0,Winter
2022-01-12,P0005,Personal Care,1347.6,162.6,674.6,72.1,0.0,Sunny,0,Winter
2022-01-12,P0006,Personal Care,1501.5,249.2,0.0,51.92,0.0,Sunny,0,Winter
2022-01-12,P0007,Snacks,801.8,76.7,0.0,25.55,0.0,Sunny,0,Winter
2022-01-12,P0008,Snacks,917.1,134.3,0.0,47.17,0.0,Sunny,0,Winter
2022-01-12,P0009,Snacks,436.7,80.1,0.0,16.73,0.0,Sunny,0,Winter
2022-01-12,P0010,Groceries,521.9,67.5,0.0,60.82,0.0,Sunny,0,Winter
2022-01-12,P0011,Household,375.0,47.8,0.0,35.65,0.0,Sunny,0,Winter
2022-01-12,P0012,Groceries,492.7,28.6,0.0,79.62,0.0,Sunny,0,Winter
2022-01-12,P0013,Beverages,840.7,130.3,0.0,79.3,0.0,Sunny,0,Winter
2022-01-12,P0014,Personal Care,1008.8,85.2,0.0,40.69,0.0,Sunny,0,Winter
2022-01-12,P0015,Personal Care,464.1,36.0,0.0,77.87,0.0,Sunny,0,Winter
2022-01-12,P0016,Household,1301.1,260.3,785.7,24.13,38.7,Sunny,0,Winter
2022-01-12,P0017,Beverages,804.6,140.4,0.0,45.22,0.0,Sunny,0,Winter
2022-01-12,P0018,Beverages,443.1,36.9,0.0,53.28,0.0,Sunny,0,Winter
2022-01-12,P0019,Groceries,1122.1,161.0,0.0,33.86,0.0,Sunny,0,Winter
2022-01-12,P0020,Household,365.1,76.9,225.5,52.17,0.0,Sunny,0,Winter
2022-01-13,P0001,Personal Care,1266.7,209.8,0.0,61.24,0.0,Rainy,0,Winter
2022-01-13,P0002,Personal Care,1102.3,200.7,0.0,26.29,0.0,Rainy,0,Winter
2022-01-13,P0003,Groceries,443.0,158.2,0.0,35.6,36.8,Rainy,0,Winter
2022-01-13,P0004,Personal Care,549.6,78.2,0.0,30.74,0.0,Rainy,0,Winter
2022-01-13,P0005,Personal Care,1222.6,125.0,0.0,72.1,0.0,Rainy,0,Winter
2022-01-13,P0006,Personal Care,1361.7,139.8,0.0,51.92,0.0,Rainy,0,Winter
2022-01-13,P0007,Snacks,670.3,131.4,0.0,20.47,19.9,Rainy,0,Winter
2022-01-13,P0008,Snacks,779.0,138.0,0.0,47.17,0.0,Rainy,0,Winter
2022-01-13,P0009,Snacks,827.6,75.6,466.4,16.73,0.0,Rainy,0,Winter
2022-01-13,P0010,Groceries,428.2,93.7,0.0,60.82,0.0,Rainy,0,Winter
2022-01-13,P0011,Household,265.2,109.8,0.0,22.52,36.8,Rainy,0,Winter
2022-01-13,P0012,Groceries,456.8,35.9,0.0,79.62,0.0,Rainy,0,Winter
2022-01-13,P0013,Beverages,694.4,146.4,0.0,79.3,0.0,Rainy,0,Winter
2022-01-13,P0014,Personal Care,802.8,206.0,0.0,40.69,0.0,Rainy,0,Winter
2022-01-13,P0015,Personal Care,425.2,39.0,0.0,77.87,0.0,Rainy,0,Winter
2022-01-13,P0016,Household,1226.0,75.1,0.0,39.37,0.0,Rainy,0,Winter
2022-01-13,P0017,Beverages,680.2,124.4,0.0,45.22,0.0,Rainy,0,Winter
2022-01-13,P0018,Beverages,417.8,25.3,0.0,53.28,0.0,Rainy,0,Winter
2022-01-13,P0019,Groceries,873.6,248.5,0.0,33.86,0.0,Rainy,0,Winter
2022-01-13,P0020,Household,318.0,47.0,0.0,52.17,0.0,Rainy,0,Winter
2022-01-14,P0001,Personal Care,991.1,275.7,0.0,61.24,0.0,Hot,0,Winter
2022-01-14,P0002,Personal Care,1952.8,652.8,1503.2,17.2,34.6,Hot,0,Winter
2022-01-14,P0003,Groceries,665.8,111.8,334.6,56.38,0.0,Hot,0,Winter
2022-01-14,P0004,Personal Care,492.4,57.2,0.0,30.74,0.0,Hot,0,Winter
2022-01-14,P0005,Personal Care,1065.7,156.9,0.0,72.1,0.0,Hot,0,Winter
2022-01-14,P0006,Personal Care,1185.9,175.8,0.0,51.92,0.0,Hot,0,Winter
2022-01-14,P0007,Snacks,951.3,202.6,483.6,20.11,21.3,Hot,0,Winter
2022-01-14,P0008,Snacks,1425.3,304.3,950.5,36.33,23.0,Hot,0,Winter
2022-01-14,P0009,Snacks,741.6,86.0,0.0,16.73,0.0,Hot,0,Winter
2022-01-14,P0010,Groceries,828.6,93.8,494.2,60.82,0.0,Hot,0,Winter
2022-01-14,P0011,Household,521.9,62.4,319.1,35.65,0.0,Hot,0,Winter
2022-01-14,P0012,Groceries,431.6,25.2,0.0,79.62,0.0,Hot,0,Winter
2022-01-14,P0013,Beverages,1307.0,181.5,794.1,79.3,0.0,Hot,0,Winter
2022-01-14,P0014,Personal Care,646.0,156.7,0.0,40.69,0.0,Hot,0,Winter
2022-01-14,P0015,Personal Care,386.1,39.0,0.0,68.34,12.2,Hot,0,Winter
2022-01-14,P0016,Household,1103.8,122.2,0.0,39.37,0.0,Hot,0,Winter
2022-01-14,P0017,Beverages,1326.5,108.0,754.4,45.22,0.0,Hot,0,Winter
2022-01-14,P0018,Beverages,392.2,25.6,0.0,53.28,0.0,Hot,0,Winter
2022-01-14,P0019,Groceries,1597.5,133.6,857.6,33.86,0.0,Hot,0,Winter
2022-01-14,P0020,Household,212.4,105.6,0.0,44.47,14.8,Hot,0,Winter
2022-01-15,P0001,Personal Care,1911.3,291.7,1211.9,53.24,13.1,Rainy,1,Winter
2022-01-15,P0002,Personal Care,1118.5,834.2,0.0,21.31,19.0,Rainy,1,Winter
2022-01-15,P0003,Groceries,509.5,156.3,0.0,37.67,33.2,Rainy,1,Winter
2022-01-15,P0004,Personal Care,362.2,130.2,0.0,18.78,38.9,Rainy,1,Winter
2022-01-15,P0005,Personal Care,803.7,262.0,0.0,49.08,31.9,Rainy,1,Winter
2022-01-15,P0006,Personal Care,1897.1,284.1,995.4,35.44,31.7,Rainy,1,Winter
2022-01-15,P0007,Snacks,774.8,176.5,0.0,21.46,16.0,Rainy,1,Winter
2022-01-15,P0008,Snacks,1054.6,370.6,0.0,35.78,24.1,Rainy,1,Winter
2022-01-15,P0009,Snacks,555.1,186.4,0.0,14.26,14.8,Rainy,1,Winter
2022-01-15,P0010,Groceries,631.2,197.4,0.0,54.41,10.5,Rainy,1,Winter
2022-01-15,P0011,Household,405.6,116.3,0.0,28.94,18.8,Rainy,1,Winter
2022-01-15,P0012,Groceries,374.5,57.0,0.0,57.37,27.9,Rainy,1,Winter
2022-01-15,P0013,Beverages,1035.8,271.2,0.0,65.48,17.4,Rainy,1,Winter
2022-01-15,P0014,Personal Care,1242.0,326.0,921.9,28.67,29.5,Rainy,1,Winter
