Date,Product ID,Category,Seasonality,Units Sold,Price
2015/1/30,2,Chicken,Winter,11,17.75
2015/1/30,3,Chicken,Winter,2,14.75
2015/1/30,4,Classic,Winter,20,15.04166667
2015/1/30,5,Veggie,Winter,4,18.5
2015/1/30,6,Veggie,Winter,3,12
2015/1/30,7,Classic,Winter,5,11.05
2015/1/30,8,Classic,Winter,1,16
2015/1/30,9,Supreme,Winter,8,13.875
2015/1/30,10,Chicken,Winter,9,17.41666667
2015/1/31,1,Chicken,Winter,5,17.75
2015/1/31,2,Chicken,Winter,10,18.25
2015/1/31,3,Chicken,Winter,2,18.75
2015/1/31,4,Classic,Winter,7,16.1
2015/1/31,5,Veggie,Winter,3,18.5
2015/1/31,6,Veggie,Winter,14,17.3
2015/1/31,7,Classic,Winter,11,12.53571429
2015/1/31,8,Classic,Winter,10,18.64285714
2015/1/31,9,Supreme,Winter,7,14.95
2015/1/31,10,Chicken,Winter,6,18.75
2015/2/1,1,Chicken,Winter,29,17.75
2015/2/1,2,Chicken,Winter,37,17.28333333
2015/2/1,3,Chicken,Winter,5,16.75
2015/2/1,4,Classic,Winter,32,15.46153846
2015/2/1,5,Veggie,Winter,13,18.5
2015/2/1,6,Veggie,Winter,2,20.25
2015/2/1,7,Classic,Winter,18,12.95833333
2015/2/1,8,Classic,Winter,18,16.71428571
2015/2/1,9,Supreme,Winter,8,18
2015/2/1,10,Chicken,Winter,19,19.25
2015/2/2,1,Chicken,Winter,17,17.41666667
2015/2/2,2,Chicken,Winter,19,16.75
2015/2/2,3,Chicken,Winter,7,18.08333333
2015/2/2,4,Classic,Winter,7,17.5
2015/2/2,5,Veggie,Winter,11,18.5
2015/2/2,6,Veggie,Winter,27,15.675
2015/2/2,7,Classic,Winter,21,14.25
2015/2/2,8,Classic,Winter,3,20.5
2015/2/2,9,Supreme,Winter,12,13.3
2015/2/2,10,Chicken,Winter,19,17.75
2015/2/3,1,Chicken,Winter,18,15.25
2015/2/3,2,Chicken,Winter,14,16.75
2015/2/3,3,Chicken,Winter,5,20.75
2015/2/3,4,Classic,Winter,9,13.33333333
2015/2/3,5,Veggie,Winter,10,18.5
2015/2/3,6,Veggie,Winter,22,18.15625
2015/2/3,7,Classic,Winter,5,13.25
2015/2/3,8,Classic,Winter,6,17.66666667
2015/2/3,9,Supreme,Winter,12,15.8
2015/2/3,10,Chicken,Winter,11,18.75
2015/2/4,1,Chicken,Winter,23,17.55
2015/2/4,2,Chicken,Winter,16,17.41666667
2015/2/4,3,Chicken,Winter,6,12.75
2015/2/4,4,Classic,Winter,12,17.8
2015/2/4,5,Veggie,Winter,17,18.5
2015/2/4,6,Veggie,Winter,12,17.125
2015/2/4,7,Classic,Winter,19,13.03125
2015/2/4,8,Classic,Winter,7,16.16666667
2015/2/4,9,Supreme,Winter,12,14.5
2015/2/4,10,Chicken,Winter,4,16.75
2015/2/5,1,Chicken,Winter,15,19.41666667
2015/2/5,2,Chicken,Winter,14,17.41666667
2015/2/5,3,Chicken,Winter,3,20.75
2015/2/5,4,Classic,Winter,19,14.625
2015/2/5,5,Veggie,Winter,5,18.5
2015/2/5,6,Veggie,Winter,9,17.125
2015/2/5,7,Classic,Winter,24,13.11111111
2015/2/5,8,Classic,Winter,13,18.8
2015/2/5,9,Supreme,Winter,6,20.75
2015/2/5,10,Chicken,Winter,2,20.75
2015/2/6,1,Chicken,Winter,14,19.41666667
2015/2/6,2,Chicken,Winter,20,17.89285714
2015/2/6,3,Chicken,Winter,4,16.75
2015/2/6,4,Classic,Winter,24,15.25
2015/2/6,5,Veggie,Winter,14,18.5
2015/2/6,6,Veggie,Winter,13,15.2
2015/2/6,7,Classic,Winter,27,12.34090909
2015/2/6,8,Classic,Winter,16,15.57142857
2015/2/6,9,Supreme,Winter,2,20.75
2015/2/6,10,Chicken,Winter,13,17.55
2015/2/7,1,Chicken,Winter,20,16.08333333
2015/2/7,2,Chicken,Winter,22,16.75
2015/2/7,3,Chicken,Winter,8,20.75
2015/2/7,4,Classic,Winter,19,14
2015/2/7,5,Veggie,Winter,6,18.5
2015/2/7,6,Veggie,Winter,15,15.46428571
2015/2/7,7,Classic,Winter,6,14.5
2015/2/7,10,Chicken,Winter,21,17.25
2015/2/8,1,Chicken,Winter,16,17.41666667
2015/2/8,2,Chicken,Winter,10,17.75
2015/2/8,3,Chicken,Winter,4,16.75
2015/2/8,4,Classic,Winter,10,14.125
2015/2/8,5,Veggie,Winter,8,18.5
2015/2/8,6,Veggie,Winter,4,20.25
2015/2/8,7,Classic,Winter,20,13.09375
2015/2/8,8,Classic,Winter,5,16.25
2015/2/8,9,Supreme,Winter,8,16.58333333
2015/2/8,10,Chicken,Winter,16,17.89285714
2015/2/9,1,Chicken,Winter,13,18.08333333
2015/2/9,2,Chicken,Winter,21,18.25
2015/2/9,3,Chicken,Winter,8,19.41666667
2015/2/9,4,Classic,Winter,9,16
2015/2/9,5,Veggie,Winter,11,18.5
2015/2/9,6,Veggie,Winter,15,16.75
2015/2/9,7,Classic,Winter,21,12
2015/2/9,8,Classic,Winter,14,16.2
2015/2/9,9,Supreme,Winter,3,12.5
2015/2/9,10,Chicken,Winter,13,18.35
2015/2/10,1,Chicken,Winter,14,18.35
2015/2/10,2,Chicken,Winter,10,17.75
2015/2/10,3,Chicken,Winter,4,16.75
2015/2/10,4,Classic,Winter,11,13
2015/2/10,5,Veggie,Winter,10,18.5
2015/2/10,6,Veggie,Winter,11,15.0625
2015/2/10,7,Classic,Winter,3,13.25
2015/2/10,8,Classic,Winter,23,16.66666667
2015/2/10,9,Supreme,Winter,4,16.625
2015/2/10,10,Chicken,Winter,8,14.75
2015/2/11,1,Chicken,Winter,16,15.15
2015/2/11,2,Chicken,Winter,15,16.75
2015/2/11,3,Chicken,Winter,9,17.75
2015/2/11,4,Classic,Winter,23,15.72222222
2015/2/11,5,Veggie,Winter,16,18.5
2015/2/11,6,Veggie,Winter,12,17.7
2015/2/11,7,Classic,Winter,28,12.38636364
2015/2/11,8,Classic,Winter,3,20.5
2015/2/11,9,Supreme,Winter,8,18
2015/2/11,10,Chicken,Winter,18,16.75
2015/2/12,1,Chicken,Winter,28,17.55
2015/2/12,2,Chicken,Winter,9,16.75
2015/2/12,3,Chicken,Winter,2,16.75
2015/2/12,4,Classic,Winter,21,16.125
2015/2/12,5,Veggie,Winter,17,18.5
2015/2/12,6,Veggie,Winter,8,16.08333333
2015/2/12,7,Classic,Winter,21,14.53125
2015/2/12,8,Classic,Winter,5,18.25
2015/2/12,10,Chicken,Winter,11,17.75
2015/2/13,1,Chicken,Winter,28,19.55
2015/2/13,2,Chicken,Winter,28,16.75
2015/2/13,3,Chicken,Winter,11,20.75
2015/2/13,4,Classic,Winter,10,18.25
2015/2/13,5,Veggie,Winter,5,18.5
2015/2/13,6,Veggie,Winter,8,13.33333333
2015/2/13,7,Classic,Winter,18,12.60714286
2015/2/13,8,Classic,Winter,15,16.91666667
2015/2/13,9,Supreme,Winter,10,16.5625
2015/2/13,10,Chicken,Winter,20,18.75
2015/2/14,1,Chicken,Winter,25,17.95
2015/2/14,2,Chicken,Winter,15,16.75
2015/2/14,3,Chicken,Winter,3,20.75
2015/2/14,4,Classic,Winter,11,17.125
2015/2/14,5,Veggie,Winter,8,18.5
2015/2/14,6,Veggie,Winter,18,14
2015/2/14,7,Classic,Winter,13,13.45
2015/2/14,8,Classic,Winter,2,12
2015/2/14,9,Supreme,Winter,9,16.5
2015/2/14,10,Chicken,Winter,14,19.15
2015/2/15,1,Chicken,Winter,14,18.35
2015/2/15,2,Chicken,Winter,16,17.41666667
2015/2/15,3,Chicken,Winter,11,18.75
2015/2/15,4,Classic,Winter,17,16.07142857
2015/2/15,5,Veggie,Winter,11,18.5
2015/2/15,6,Veggie,Winter,13,16.75
2015/2/15,7,Classic,Winter,7,14.5
2015/2/15,8,Classic,Winter,12,18.25
2015/2/15,10,Chicken,Winter,18,17.89285714
2015/2/16,1,Chicken,Winter,5,18.75
2015/2/16,2,Chicken,Winter,7,14.08333333
2015/2/16,3,Chicken,Winter,6,16.75
2015/2/16,4,Classic,Winter,10,16.125
2015/2/16,5,Veggie,Winter,10,18.5
2015/2/16,6,Veggie,Winter,10,17.125
2015/2/16,7,Classic,Winter,28,13.13636364
2015/2/16,8,Classic,Winter,17,18.375
2015/2/16,9,Supreme,Winter,2,20.75
2015/2/16,10,Chicken,Winter,28,18.35
2015/2/17,1,Chicken,Winter,21,17.75
2015/2/17,2,Chicken,Winter,12,17.55
2015/2/17,3,Chicken,Winter,13,16.75
2015/2/17,4,Classic,Winter,26,16.1
2015/2/17,5,Veggie,Winter,3,18.5
2015/2/17,6,Veggie,Winter,14,13.6
2015/2/17,7,Classic,Winter,26,14.13888889
2015/2/17,8,Classic,Winter,6,16.16666667
2015/2/17,9,Supreme,Winter,6,14.5
2015/2/17,10,Chicken,Winter,14,16.08333333
2015/2/18,1,Chicken,Winter,13,15.95
2015/2/18,2,Chicken,Winter,28,17.55
2015/2/18,3,Chicken,Winter,9,15.75
2015/2/18,4,Classic,Winter,22,14
2015/2/18,5,Veggie,Winter,6,18.5
2015/2/18,6,Veggie,Winter,13,16.9
2015/2/18,7,Classic,Winter,28,13.47727273
2015/2/18,8,Classic,Winter,7,16.16666667
2015/2/18,9,Supreme,Winter,7,16.58333333
2015/2/18,10,Chicken,Winter,30,17.55
2015/2/19,1,Chicken,Winter,17,15.60714286
2015/2/19,2,Chicken,Winter,14,18.75
2015/2/19,3,Chicken,Winter,9,17.75
2015/2/19,4,Classic,Winter,11,16
2015/2/19,5,Veggie,Winter,9,18.5
2015/2/19,6,Veggie,Winter,12,15.25
2015/2/19,7,Classic,Winter,17,13.85714286
2015/2/19,8,Classic,Winter,5,20.5
2015/2/19,9,Supreme,Winter,2,20.75
2015/2/19,10,Chicken,Winter,9,16.75
2015/2/20,1,Chicken,Winter,24,16.75
2015/2/20,2,Chicken,Winter,44,17.5
2015/2/20,3,Chicken,Winter,22,17.25
2015/2/20,4,Classic,Winter,19,16.71428571
2015/2/20,5,Veggie,Winter,8,18.5
2015/2/20,6,Veggie,Winter,13,15.375
2015/2/20,7,Classic,Winter,14,14.41666667
2015/2/20,8,Classic,Winter,13,16.1
2015/2/20,9,Supreme,Winter,15,13.3
2015/2/20,10,Chicken,Winter,15,20.75
2015/2/21,1,Chicken,Winter,23,18.25
2015/2/21,2,Chicken,Winter,11,17.55
2015/2/21,3,Chicken,Winter,3,16.75
2015/2/21,4,Classic,Winter,15,16.91666667
2015/2/21,5,Veggie,Winter,10,18.5
2015/2/21,6,Veggie,Winter,13,15.3
2015/2/21,7,Classic,Winter,13,14
2015/2/21,8,Classic,Winter,16,16.21428571
2015/2/21,10,Chicken,Winter,17,18.75
2015/2/22,1,Chicken,Winter,0,18.75
2015/2/22,2,Chicken,Winter,0,17.89285714
2015/2/22,3,Chicken,Winter,0,16.75
2015/2/22,4,Classic,Winter,0,15.41666667
2015/2/22,5,Veggie,Winter,0,18.5
2015/2/22,6,Veggie,Winter,0,16.08333333
2015/2/22,7,Classic,Winter,0,10.5
2015/2/22,9,Supreme,Winter,0,16.625
2015/2/22,10,Chicken,Winter,0,17.55
2015/2/23,1,Chicken,Winter,0,18.75
2015/2/23,2,Chicken,Winter,0,17.19444444
2015/2/23,3,Chicken,Winter,0,18.75
2015/2/23,4,Classic,Winter,0,15.22222222
2015/2/23,5,Veggie,Winter,0,18.5
2015/2/23,6,Veggie,Winter,0,15.59375
2015/2/23,7,Classic,Winter,0,13.95833333
2015/2/23,8,Classic,Winter,0,18.33333333
2015/2/23,9,Supreme,Winter,0,15.75
2015/2/23,10,Chicken,Winter,0,18.75
2015/2/24,1,Chicken,Winter,0,17.89285714
2015/2/24,2,Chicken,Winter,0,16.75
2015/2/24,3,Chicken,Winter,0,16.75
2015/2/24,4,Classic,Winter,0,18.7
2015/2/24,5,Veggie,Winter,0,18.5
2015/2/24,6,Veggie,Winter,0,16.08333333
2015/2/24,7,Classic,Winter,0,12.38888889
2015/2/24,8,Classic,Winter,0,18.375
2015/2/24,9,Supreme,Winter,0,15.75
2015/2/24,10,Chicken,Winter,0,19.41666667
2015/2/25,1,Chicken,Winter,0,16.75
2015/2/25,2,Chicken,Winter,0,16.75
2015/2/25,3,Chicken,Winter,0,15.95
2015/2/25,4,Classic,Winter,0,15.41666667
2015/2/25,5,Veggie,Winter,0,18.5
2015/2/25,6,Veggie,Winter,0,17.45833333
2015/2/25,7,Classic,Winter,0,12.5
2015/2/25,8,Classic,Winter,0,15.41666667
2015/2/25,9,Supreme,Winter,0,16.625
2015/2/25,10,Chicken,Winter,0,17.41666667
2015/2/26,1,Chicken,Winter,0,18.08333333
2015/2/26,2,Chicken,Winter,0,18.08333333
2015/2/26,3,Chicken,Winter,0,16.75
2015/2/26,4,Classic,Winter,0,16
2015/2/26,5,Veggie,Winter,0,18.5
2015/2/26,6,Veggie,Winter,0,17.5
2015/2/26,7,Classic,Winter,0,14.02272727
2015/2/26,8,Classic,Winter,0,15.125
2015/2/26,9,Supreme,Winter,0,15.5625
2015/2/26,10,Chicken,Winter,0,17.25
2015/2/27,1,Chicken,Winter,0,19.03571429
2015/2/27,2,Chicken,Winter,0,17.84090909
2015/2/27,3,Chicken,Winter,0,20.75
2015/2/27,4,Classic,Winter,0,14.75
2015/2/27,5,Veggie,Winter,0,18.5
2015/2/27,6,Veggie,Winter,0,15.2
2015/2/27,7,Classic,Winter,0,12.25
2015/2/27,8,Classic,Winter,0,16.2
2015/2/27,9,Supreme,Winter,0,15.875
2015/2/27,10,Chicken,Winter,0,19.03571429
2015/2/28,1,Chicken,Winter,0,17.25
2015/2/28,2,Chicken,Winter,0,16.17857143
2015/2/28,3,Chicken,Winter,0,14.75
2015/2/28,4,Classic,Winter,0,14
2015/2/28,5,Veggie,Winter,0,18.5
2015/2/28,6,Veggie,Winter,0,17.21428571
2015/2/28,7,Classic,Winter,0,14.80555556
2015/2/28,8,Classic,Winter,0,16.25
2015/2/28,9,Supreme,Winter,0,15.83333333
2015/2/28,10,Chicken,Winter,0,16.75
2015/3/1,1,Chicken,Spring,1,20.75
2015/3/1,2,Chicken,Spring,2,16.75
